location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
10515,"Szarów, ul. Spokojna","no2",23.6,"µg/m³","2025-05-13T06:00:00Z","2025-05-13T08:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",23.7,"µg/m³","2025-05-13T07:00:00Z","2025-05-13T09:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",23.7,"µg/m³","2025-05-13T08:00:00Z","2025-05-13T10:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",22.9,"µg/m³","2025-05-13T09:00:00Z","2025-05-13T11:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",17.6,"µg/m³","2025-05-13T10:00:00Z","2025-05-13T12:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",11.4,"µg/m³","2025-05-13T11:00:00Z","2025-05-13T13:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",7.8,"µg/m³","2025-05-13T12:00:00Z","2025-05-13T14:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",5.8,"µg/m³","2025-05-13T13:00:00Z","2025-05-13T15:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",4.9,"µg/m³","2025-05-13T14:00:00Z","2025-05-13T16:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",4.7,"µg/m³","2025-05-13T15:00:00Z","2025-05-13T17:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",4.5,"µg/m³","2025-05-13T16:00:00Z","2025-05-13T18:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",4.9,"µg/m³","2025-05-13T17:00:00Z","2025-05-13T19:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
10515,"Szarów, ul. Spokojna","no2",8.3,"µg/m³","2025-05-13T18:00:00Z","2025-05-13T20:00:00+02:00","Europe/Warsaw",50.0075,20.259167,,,,"Unknown Governmental Organization","GIOS"
